Jan-17,"Gower Place, Euston",17,13,13,26
Jan-17,"Grafton Street, Mayfair",18,15,1,16
Jan-17,"Graham Street, Angel",26,1,22,23
Jan-17,"Granby Street, Shoreditch",37,3,5,8
Jan-17,"Grant Road, Clapham Junction",120,3,2,5
Jan-17,"Grant Road, Clapham Junction",120,3,2,5
Jan-17,"Grant Road, Clapham Junction",120,5,2,7
Jan-17,"Grant Road, Clapham Junction",120,6,0,6
Jan-17,"Grant Road, Clapham Junction",120,3,2,5
Jan-17,"Grant Road, Clapham Junction",120,6,0,6
Jan-17,"Grant Road, Clapham Junction",120,5,2,7
Jan-17,"Grant Road, Clapham Junction",120,6,0,6
Jan-17,"Grant Road, Clapham Junction",120,5,2,7
Jan-17,"Great Dover Street, The Borough",33,5,10,15
Jan-17,"Great Marlborough Street, Soho",41,19,2,21
Jan-17,"Great Percy Street, Clerkenwell",23,8,16,24
Jan-17,"Great Russell Street, Bloomsbury",26,7,8,15
Jan-17,"Great Suffolk Street, The Borough",21,2,5,7
Jan-17,"Great Titchfield Street, Fitzrovia",19,6,3,9
Jan-17,"Great Tower Street, Monument",24,39,11,50
Jan-17,"Green Park Station, West End",28,40,13,53
Jan-17,"Green Street, Mayfair",19,5,8,13
Jan-17,"Greenberry Street, St. John's Wood",24,0,9,9
Jan-17,"Greenland Road, Camden Town",36,7,2,9
Jan-17,"Grenfell Road, Avondale",24,0,1,1
Jan-17,"Greycoat Street, Westminster",17,17,4,21
Jan-17,"Greyhound Road, Hammersmith",37,1,5,6
Jan-17,"Grosvenor Crescent, Belgravia",18,3,3,6
Jan-17,"Grosvenor Road, Pimlico",29,2,11,13
Jan-17,"Grosvenor Square, Mayfair",17,27,1,28
Jan-17,"Grove End Road, St. John's Wood",20,0,11,11
Jan-17,"Guildhouse Street, Victoria",16,11,4,15
Jan-17,"Guilford Street, Bloomsbury",38,8,10,18
Jan-17,"Gunmakers Lane, Old Ford",17,1,9,10
Jan-17,"Gwendwr Road, West Kensington",30,0,3,3
Jan-17,"Haggerston Road, Haggerston",37,0,10,10
Jan-17,"Halford Road, Fulham",24,0,3,3
Jan-17,"Hammersmith Road, Hammersmith",22,3,2,5
Jan-17,"Hammersmith Town Hall, Hammersmith",28,7,0,7
Jan-17,"Hampstead Road (Cartmel), Euston",16,3,7,10
Jan-17,"Hampstead Road, Euston",54,4,29,33
Jan-17,"Hampton Street, Walworth",21,3,5,8
Jan-17,"Handyside Street, King's Cross",27,0,9,9
Jan-17,"Hansard Mews, Shepherds Bush",20,2,1,3
Jan-17,"Harcourt Terrace, West Brompton",24,1,5,6
Jan-17,"Hardwick Street, Clerkenwell",30,3,21,24
Jan-17,"Harford Street, Mile End",23,0,7,7
Jan-17,"Harper Road, The Borough",42,2,5,7
Jan-17,"Harriet Street, Knightsbridge",27,11,1,12
Jan-17,"Harrington Square, Camden Town",65,6,8,14
Jan-17,"Harrington Square, Camden Town",65,3,12,15
Jan-17,"Harrowby Street, Marylebone",16,3,14,17
Jan-17,"Hartington Road, Stockwell",35,5,12,17
Jan-17,"Hatton Garden, Holborn",28,62,30,92
Jan-17,"Hatton Wall, Holborn",26,48,30,78
Jan-17,"Hawley Crescent, Camden Town",22,5,0,5
Jan-17,"Heath Road, Battersea",27,2,6,8
Jan-17,"Here East North, Queen Elizabeth Olympic Park",24,0,0,0
Jan-17,"Hereford Road, Bayswater",22,1,9,10
Jan-17,"Hermitage Court, Wapping",16,4,14,18
Jan-17,"Heron Quays DLR, Canary Wharf",27,6,0,6
Jan-17,"Hertford Road, De Beauvoir Town",25,0,17,17
Jan-17,"Hewison Street, Old Ford",19,0,4,4
Jan-17,"Hibbert Street, Battersea",36,0,4,4
Jan-17,"High Holborn, Covent Garden",17,12,5,17
Jan-17,"Hinde Street, Marylebone",21,29,8,37
Jan-17,"Holborn Circus, Holborn",39,86,75,161
Jan-17,"Holden Street, Battersea",19,1,3,4
Jan-17,"Holland Park, Kensington",30,0,15,15
Jan-17,"Hollybush Gardens, Bethnal Green",32,4,3,7
Jan-17,"Holy Trinity Brompton, Knightsbridge",28,15,0,15
Jan-17,"Hop Exchange, The Borough",57,68,0,68
Jan-17,"Horseferry Road, Westminster",16,50,20,70
Jan-17,"Hortensia Road, West Brompton",28,1,5,6
Jan-17,"Houghton Street, Strand",15,15,2,17
Jan-17,"Houndsditch, Aldgate",28,9,1,10
Jan-17,"Howick Place, Westminster",28,43,9,52
Jan-17,"Howland Street, Fitzrovia",30,12,6,18
Jan-17,"Hoxton Station, Haggerston",22,1,13,14
Jan-17,"Hoxton Street, Hoxton",27,1,12,13
Jan-17,"Humbolt Road, Fulham",27,0,4,4
Jan-17,"Hurlingham Park, Parsons Green",20,1,3,4
Jan-17,"Hyde Park Corner, Hyde Park",28,2,3,5
Jan-17,"Ilchester Gardens, Bayswater",21,1,11,12
Jan-17,"Ilchester Place, Kensington",24,2,1,3
Jan-17,"Imperial College, Knightsbridge",21,25,5,30
Jan-17,"Imperial Road, Sands End",37,0,1,1
Jan-17,Imperial Wharf Station,25,1,0,1
Jan-17,"Ingrave Street, Battersea",30,0,2,2
Jan-17,"Irene Road, Parsons Green",43,0,4,4
Jan-17,"Islington Green, Angel",21,7,20,27
Jan-17,"Jewry Street, Aldgate",17,9,3,12
Jan-17,"Jubilee Cresent, Cubitt Town",53,0,1,1
Jan-17,"Jubilee Gardens, South Bank",30,39,24,63
Jan-17,"Jubilee Plaza, Canary Wharf",63,5,1,6
Jan-17,"Jubilee Street, Stepney",28,0,15,15
Jan-17,"Kennington Cross, Kennington",29,18,27,45
Jan-17,"Kennington Lane Rail Bridge, Vauxhall",36,0,0,0
Jan-17,"Kennington Lane Tesco, Vauxhall",15,7,3,10
Jan-17,"Kennington Oval, Oval",32,2,7,9
Jan-17,"Kennington Road Post Office, Oval",18,4,8,12
Jan-17,"Kennington Road, Vauxhall",36,5,13,18
Jan-17,"Kennington Station, Kennington",23,7,3,10
Jan-17,"Kensington Church Street, Kensington",17,3,6,9
Jan-17,"Kensington Gore, Knightsbridge",23,7,7,14
Jan-17,"Kensington Olympia Station, Olympia",25,0,4,4
Jan-17,"Kensington Town Hall, Kensington",18,0,3,3
Jan-17,"Killick Street, King's Cross",22,1,9,10
Jan-17,"King Edward Street, St Pauls",20,31,5,36
Jan-17,"King Edward Walk, Waterloo",22,0,6,6
Jan-17,"Kings Gate House, Westminster",24,14,8,22
Jan-17,"Kingsway Southbound, Strand",33,19,2,21
Jan-17,"Knaresborough Place, Earl's Court",18,3,3,6
Jan-17,"Knightsbridge, Hyde Park",43,6,10,16
Jan-17,"Ladbroke Grove Central, Notting Hill",21,0,14,14
Jan-17,"Lambeth North Station, Waterloo",20,4,10,14
Jan-17,"Lambeth Palace Road, Waterloo",34,21,4,25
Jan-17,"Lambeth Road, Vauxhall",18,5,14,19
Jan-17,"Lancaster Drive, Blackwall",27,6,0,6
Jan-17,"Lancaster Gate, Bayswater",38,1,23,24
Jan-17,"Langdon Park, Poplar",24,0,4,4
Jan-17,"Lansdowne Road, Ladbroke Grove",30,2,5,7
Jan-17,"Lansdowne Walk, Notting Hill",21,0,5,5
Jan-17,"Lansdowne Way Bus Garage, Stockwell",28,3,0,3
Jan-17,"Lavington Street, Bankside",29,8,1,9
Jan-17,"Lee Valley Velo Park, QEOP",44,0,3,3
Jan-17,"Leman Street, Aldgate",37,14,6,20
Jan-17,"Leonard Circus, Shoreditch",41,11,0,11
Jan-17,"Lexham Gardens, Kensington",19,0,5,5
Jan-17,"Lightermans Road, Millwall",57,1,2,3
Jan-17,"Limburg Road, Clapham Common",21,0,4,4
Jan-17,"Limerston Street, Chelsea",18,4,0,4
Jan-17,"Lincoln's Inn Fields, Holborn",28,16,7,23
Jan-17,"Lindfield Street, Poplar",43,2,1,3
Jan-17,"Lisson Grove, St. John's Wood",18,1,12,13
Jan-17,"Little Argyll Street, West End",21,43,6,49
Jan-17,"Little Brook Green, Brook Green",33,3,0,3
Jan-17,"Liverpool Road (N1 Centre), Angel",24,2,14,16
Jan-17,"LMU Commercial Road, Whitechapel",14,1,13,14
Jan-17,"Lodge Road, St. John's Wood",18,1,5,6
Jan-17,"Lollard Street, Vauxhall",25,6,29,35
Jan-17,"London Aquatics Centre, QEOP",64,1,0,1
Jan-17,"London Zoo Car Park, Regent's Park",36,2,7,9
Jan-17,"London Zoo, Regent's Park",32,3,4,7
Jan-17,"Long Lane, Bermondsey",20,4,11,15
Jan-17,"Longford Street, Regent's Park",21,1,8,9
Jan-17,"Lord's, St. John's Wood",24,0,6,6
Jan-17,"Lots Road, West Chelsea",24,0,2,2
Jan-17,"Lower Marsh, Waterloo",17,6,6,12
Jan-17,"Lower Thames Street, Monument",24,10,0,10
Jan-17,"LSBU (Borough Road), Elephant & Castle",35,2,6,8
Jan-17,"Macclesfield Road, St. Luke's",28,4,15,19
Jan-17,"Maclise Road, Olympia",26,0,6,6
Jan-17,"Malet Street, Bloomsbury",40,34,17,51
Jan-17,"Mallory Street, Marylebone",20,0,4,4
Jan-17,"Malmesbury Road, Bow",21,1,0,1
Jan-17,"Manbre Road, Hammersmith",28,0,3,3
Jan-17,"Manfred Road, East Putney",29,1,4,5
Jan-17,"Manresa Road, Chelsea",18,7,1,8
Jan-17,"Margery Street, Clerkenwell",19,2,6,8
Jan-17,"Marloes Road, Kensington",14,2,2,4
Jan-17,"Marylebone Lane, Marylebone",24,14,0,14
Jan-17,"Melton Street, Euston",27,5,5,10
Jan-17,"Merchant Street, Bow",27,0,0,0
Jan-17,"Mexfield Road, East Putney",18,0,3,3
Jan-17,"Michael Road, Walham Green",37,1,2,3
Jan-17,"Mile End Park Leisure Centre, Mile End",47,1,6,7
Jan-17,"Mile End Stadium, Mile End",22,0,1,1
Jan-17,"Millbank Tower, Pimlico",24,27,18,45
Jan-17,"Millennium Hotel, Mayfair",27,11,5,16
Jan-17,"Millharbour, Millwall",19,0,0,0
Jan-17,"Milroy Walk, South Bank",30,8,4,12
Jan-17,"Monier Road, QEOP",27,2,4,6
Jan-17,"Montgomery Square, Canary Wharf",39,7,1,8
Jan-17,"Montpelier Street, Knightsbridge",16,7,0,7
Jan-17,"Montserrat Road, Putney",23,2,0,2
Jan-17,"Monument Street, Monument",22,16,2,18
Jan-17,"Moor Street, Soho",16,28,1,29
Jan-17,"Moorfields, Moorgate",54,45,14,59
Jan-17,"Morie Street, Wandsworth",28,0,2,2
Jan-17,"Mostyn Grove, Bow",46,1,7,8
Jan-17,"Mudchute DLR, Cubitt Town",31,0,0,0
Jan-17,"Murray Grove, Hoxton",27,2,11,13
Jan-17,"Museum of London, Barbican",52,0,0,0
Jan-17,"Nantes Close, Wandsworth",22,0,5,5
Jan-17,"Napier Avenue, Millwall",20,0,1,1
Jan-17,"Natural History Museum, South Kensington",42,6,4,10
Jan-17,"Naval Row, Blackwall",21,4,0,4
Jan-17,"Nesham Street, Wapping",16,7,1,8
Jan-17,"Nevern Place, Earl's Court",20,2,8,10
Jan-17,"Neville Gill Close, Wandsworth",32,1,1,2
Jan-17,"New Cavendish Street, Marylebone",18,12,3,15
Jan-17,"New Fetter Lane, Holborn",18,46,39,85
Jan-17,"New Globe Walk, Bankside",19,7,7,14
Jan-17,"New Inn Yard, Shoreditch",20,13,0,13
Jan-17,"New Kent Road, The Borough",33,3,5,8
Jan-17,"New North Road, Hoxton",44,3,13,16
Jan-17,"New North Road, Hoxton",44,0,5,5
Jan-17,"New Road, Whitechapel",73,0,0,0
Jan-17,"New Spring Gardens Walk, Vauxhall",40,10,2,12
Jan-17,"Newby Place, Poplar",18,4,2,6
Jan-17,"Newgate Street, St. Paul's",34,81,67,148
Jan-17,"Newton Street, Covent Garden",24,43,20,63
